,Var1,Freq
1,US,240252
2,GB,25991
3,,25519
4,CA,11294
5,AU,5866
6,""N,3627
7,DE,2516
8,0,2167
9,NL,2058
10,failed,1889
11,FR,1715
12,IT,1592
13,1,1330
14,successful,1316
15,ES,1274
16,SE,1208
17,NZ,1073
18,2,889
19,DK,781
20,3,710
21,4,535
22,IE,527
23,NO,493
24,5,445
25,CH,427
26,6,409
27,BE,372
28,canceled,368
29,AT,350
30,7,347
31,10,263
32,8,261
33,9,242
34,12,221
35,14,213
36,MX,202
37,11,193
38,13,191
39,16,182
40,17,182
41,15,169
42,20,166
43,19,162
44,18,160
45,22,142
46,21,140
47,23,136
48,25,131
49,24,125
50,29,122
51,32,122
52,28,121
53,26,116
54,30,112
55,SG,109
56,34,103
57,27,101
58,37,101
59,38,98
60,36,97
61,40,95
62,31,93
63,HK,93
64,35,91
65,33,88
66,50,85
67,41,82
68,42,82
69,44,81
70,45,77
71,39,75
72,54,75
73,49,74
74,52,73
75,51,68
76,48,66
77,55,65
78,57,65
79,58,65
80,60,64
81,46,63
82,43,62
83,59,62
84,63,62
85,53,61
86,live,59
87,47,57
88,62,55
89,64,54
90,61,53
91,56,52
92,71,52
93,81,52
94,69,48
95,73,47
96,72,46
97,67,45
98,77,45
99,84,44
100,70,43
101,82,43
102,65,42
103,75,42
104,79,42
105,80,42
106,83,40
107,66,39
108,68,39
109,74,39
110,78,39
111,LU,38
112,76,37
113,86,37
114,100,34
115,92,34
116,96,34
117,104,33
118,103,32
119,106,32
120,93,32
121,97,32
122,98,32
123,101,30
124,105,30
125,108,30
126,88,30
127,85,29
128,90,29
129,undefined,29
130,122,28
131,89,27
132,91,27
133,128,26
134,130,26
135,87,26
136,107,25
137,165,25
138,109,24
139,111,24
140,99,24
141,115,23
142,94,23
143,102,21
144,118,21
145,121,21
146,123,21
147,139,21
148,114,19
149,120,19
150,137,19
151,140,19
152,176,19
153,113,18
154,135,18
155,142,18
156,147,18
157,95,18
158,suspended,18
159,117,17
160,119,17
161,124,17
162,125,17
163,134,17
164,138,17
165,116,16
166,133,16
167,144,16
168,148,16
169,149,16
170,154,16
171,158,16
172,162,16
173,126,15
174,131,15
175,136,15
176,155,15
177,177,15
178,181,15
179,110,14
180,112,14
181,145,14
182,152,14
183,156,14
184,166,14
185,168,14
186,187,14
187,203,14
188,205,14
189,127,13
190,159,13
191,160,13
192,173,13
193,193,13
194,129,12
195,132,12
196,150,12
197,157,12
198,161,12
199,169,12
200,170,12
201,171,12
202,209,12
203,213,12
204,227,12
205,153,11
206,175,11
207,195,11
208,197,11
209,201,11
210,222,11
211,151,10
212,182,10
213,186,10
214,192,10
215,194,10
216,207,10
